RID,Act ID,"Establishment Name
Site City-State-Zip",County,Primary/Site NAICS,Receipt Date,Receipt Type,Formality,Insp ID,Addl' Code,Hazard Desc and Location,No Alleged Hazards/No Emp Exposed,weight,Industry_code
01-120-00,C-1582450,"Sweet Evalina's Stand
688 Route 169, WOODSTOCK, CONNECTICUT, 06281",WINDHAM,"722211 /
722211",2020-05-04,Phone,Nonformal,,N-16-COVID-19: ,"1.  The company does not have adequate procedures or training to protect employees from COVID-19.  There is no social distancing in the kitchen where 8-10 employees work.  Employees are provided with poorly fitting hand-made masks.  Employees either do not wear the masks or wear them improperly under their chin or with the nose exposed.  

Note:  Complainant was advised to call Connecticut State Police Troop D to report that customers are not wearing face coverings and are allowed to eat on the premises which contradicts the current Executive Order issued by the Governor which is currently in effect.","1/
10",1,72
01-120-00,C-1582611,"Hebron Medical Associates LLC
269 Church Street, AMSTON, CONNECTICUT, 06231",TOLLAND,"621999 /
621999",2020-05-01,Phone,Nonformal,,N-16-COVID-19: ,"Lack of social distancing staff, lack of appropriate PPE, and lack of proper sanitizing in work areas.  

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
8",1,62
01-120-00,C-1583283,"Ranco Collision LLC
72 Commerce Way, SOUTH WINDSOR, CONNECTICUT, 06074",HARTFORD,"811121 /
811121",2020-05-04,Phone,Nonformal,,N-16-COVID-19: ,"1.  There is poor housekeeping in the shop.  There is trash and other debris on the floors.

2.  Employees are not wearing masks or face coverings, even when interacting with customers.","2/
10",1,81
01-120-00,C-1583340,"Jerome Home
975 Corbin Avenue, NEW BRITAIN, CONNECTICUT, 06052",HARTFORD,"623110 /
623110",2020-05-05,Phone,Nonformal,,N-16-COVID-19: ,"The facility currently has two residents that have been confirmed as having COVID-19.

1.  Nursing staff are being provided with a single paper mask that they are required to use for one week.
2.  N95 masks are not being provided, even to enter the rooms of resident with COVID-19.  Employees are told that N95 masks are not required.
3.  Other personal protective equipment such as foot coverings are not provided.","1/
59",1,62
01-120-00,C-1583501,"Burris Logistics
490 Brook Street, ROCKY HILL, CONNECTICUT, 06067",HARTFORD,"493120 /
493120",2020-05-05,Phone,Nonformal,,N-16-COVID-19: ,1.  At least ten employees at the facility have tested positive for COVID-19.  The company has not instituted any procedures to deal with COVID-19 and is not informing employees that their co-workers have been afflicted with the virus so that they can self-quarantine or take other measures to limit the spread of the virus within the facility.,"1/
100",1,49
01-120-00,C-1583982,"Lawrence + Memorial Hospital
365 Montauk Avenue, NEW LONDON, CONNECTICUT, 06320",NEW LONDON,"622110 /
622110",2020-05-05,Mail,Formal,,N-16-COVID-19: ,COVID ICU Unit:  Employee(s) who work in an administrative capacity are not being fit-tested for respiratory protection.  The employee(s) work in a space where there are at least seven COVID-19+ patients and are in contact with medical providers who have direct contact with COVID-19+ patients.  ,"/
",1,62
01-120-00,C-1584034,"Frito Lay, Inc.
1886 Upper Maple Street, DAYVILLE, CONNECTICUT, 06241",WINDHAM,"311919 /
311919",2020-05-05,Phone,Nonformal,,N-16-COVID-19: ,1.  Employees who work in the plant have tested positive for COVID-19.  Employees are being told that beard nets are suitable protection against COVID-19 in lieu of masks and face coverings.,"1/
200",1,31
01-120-00,C-1584153,"Foxy Fast Lube, LLC
1605 Main Street, WILLIMANTIC, CONNECTICUT, 06226",WINDHAM,"811111 /
811111",2020-05-05,Phone,Nonformal,,N-16-COVID-19: ,"1.  An employee who had COVID-19 symptoms was allowed to report to work while he was sick.  

2.  Employees are not wearing face masks/face coverings, even when assisting customers.

3.  There is no appropriate disinfectant and no procedures to disinfect surfaces in the work place.","3/
5",1,81
01-120-00,C-1584215,"Connecticut Spring & Stamping Corporation
48 Spring Lane, FARMINGTON, CONNECTICUT, 06032",HARTFORD,"332613 /
332613",2020-05-06,Phone,Nonformal,,N-16-COVID-19: ,"An employee was recently diagnosed as COVID-19 positive.  Employees are now being asked to clean and sanitize the work area instead of the company bringing in a sanitation company with proper cleaning solutions and equipment.

1.  Employees have not been trained regarding the proper use of cleaning products and how to properly sanitize.
2.  Employees have not been provided with adequate personal protective equipment.
3.  Employees don't know if the cleaning product being used is sufficient to disinfectant the work area.

Please note:  In accordance with current guidelines, any products used to disinfect the work area must be appropriate for use with viruses and must be properly applied with recommended contact times, etc...","1/
10",1,33
01-120-00,C-1584277,"McLean Affiliates
75 Great Pond Road, SIMSBURY, CONNECTICUT, 06070",HARTFORD,"623110 /
623110",2020-05-06,Phone,Nonformal,,N-16-COVID-19: ,"1.  Staff members are told to use gloves and masks multiple times leading to contamination.

2.  Staff members are not informed regarding which residents are COVID-19 positive.

3.  Staff members are forced to work even after having a positive COVID-19 diagnosis.","3/
75",1,62
01-120-00,C-1584811,"Bloomfield Health Care Center
355 Park Avenue, BLOOMFIELD, CONNECTICUT, 06002",HARTFORD,"623110 /
623110",2020-05-07,Phone,Nonformal,,N-16-COVID-19: ,"The gowns worn as a personal protective barrier are being hung at the patient's door and used by multiple caregivers. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
20",1,62
01-120-00,C-1584825,"McDonald's
74 Reservoir Road, VERNON ROCKVILLE, CONNECTICUT, 06066",TOLLAND,"722211 /
722211",2020-05-06,Phone,Nonformal,,N-16-COVID-19: ,"1.  The employer waited for four days to tell employees that a co-worker had tested positive for COVID-19.

2.  Employees who are working in food preparation and drive-through areas are not wearing face masks/face coverings.","2/
10",1,72
01-120-00,C-1584844,"McDonald's
135 West Road, ELLINGTON, CONNECTICUT, 06029",TOLLAND,"722211 /
722211",2020-05-06,Phone,Nonformal,,N-16-COVID-19: ,1.  Employees who are working in food preparation and drive-through areas are not wearing face masks/face coverings.,"1/
20",1,72
01-120-00,C-1585551,"Bartlett Brainard Eacott, Inc.
Cigna, 900 Cottage Grove Road, BLOOMFIELD, CONNECTICUT, 06002",HARTFORD,"236220 /
236220",2020-05-08,Phone,Nonformal,,N-16-COVID-19: ,"Jobsite located at Cigna, 900 Cottage Grove Road, Bloomfield, Connecticut:  At least two employees on the jobsite have tested positive for COVID-19.  The company has implemented inconsistent and inadequate policies to protect employees in that:

1.  At least two employees have tested positive for COVID-19.  Another employee was sick today.
2.  Sinks provided at the portable toilets have been out of water for at least a week.  
3.  Portable toilets are not cleaned often enough.
4.  Employees have to work in confined work spaces where the ventilation system has been turned off.
5.  A sanitation crew cleans handrails, etc..., but there is no cleaning of tools, equipment and aerial lift equipment.

","1/
125",1,23
01-120-00,C-1585663,"CAMM Metals, Inc.
24 Newberry Road, EAST WINDSOR, CONNECTICUT, 06088",HARTFORD,"332322 /
332322",2020-05-08,Phone,Nonformal,,N-16-COVID-19: ,"At least two employees are coughing and exhibiting possible symptoms of COVID-19.  The company has inadequate and inconsistent procedures to protect employees in that:

1.  Employees who are working the shop are not wearing face masks/face coverings.

2.  Social distancing is not practiced in the shop.

3.  The company is inconsistent with allowing employees to self-quarantine when either sick or when they have been in contact with known COVID-19 carriers.  Some are allowed to stay home and some are told they must report to work.

","1/
100",1,33
01-120-00,C-1585769,"Carabetta Management Co.
Sana Apartments, 1630 Main Street, HARTFORD, CONNECTICUT, 06120",HARTFORD,"531210 /
531210",2020-05-08,Phone,Nonformal,,N-16-COVID-19: ,"Employees who provide security for the building are not adequately protected against COVID-19.  Several residents in the building have tested positive for COVID-19 and at least one security employee has also tested positive.

1.  Security personnel are not provided with gloves and face masks/coverings.  Job duties include handling identification cards, walking through the building to conduct security checks and opening doors.  Employees must provide their own protective equipment.

2.  Building surfaces are not adequately disinfected such as elevator buttons, railings, door hardware and other surfaces that are frequently touched.","1/
20",1,53
01-120-00,C-1586730,"Lowe's Home Centers, LLC
1421 Lowes Way, PLAINFIELD, CONNECTICUT, 06374",WINDHAM,"444130 /
444130",2020-05-11,Phone,Nonformal,,N-16-COVID-19: ,"The company has not adequately implemented measures to protect employees against the COVID-19 outbreak in that:

1.  The company is not vigilant enforcing the six foot guideline.  Employees crowd at the timeclock and are clustered together in work areas.

2.  Many employees either do not wear a face mask/covering or do not wear it properly.

3.  Employees reach into a common box to retrieve face masks.

4.  An employee tested positive for COVID-19 on May 6, 2020.  The company never shut down to perform a deep clean.  Cleaning was done for approximately four hours on the day shift and the night shift reported to work as usual.

5.  The company has not performed any type of contact tracing for the employee who tested positive for COVID-19 on May 6, 2020.","1/
100",1,44
01-120-00,C-1586731,"Noank Community Support Services, Inc.
105 Church Hill Road, LEDYARD, CONNECTICUT, 06338",NEW LONDON,"624190 /
624190",2020-05-11,Email,Formal,,N-16-COVID-19: ,"There is an employee concern regarding the lack of communication for exposure to COVID-19 from clients and other employees and the lack of PPE.

In your response, please provide information on how you are communicating with employees when positive COVID-19 results are obtained for clients and other staff. Also, please address how you are social distancing; following CDC, State, and local guidance on reducing the number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","/
",1,62
01-120-00,C-1587470,"Mattress Firm, Inc
55 Palomba Drive, ENFIELD, CONNECTICUT, 06082",HARTFORD,"442110 /
442110",2020-05-11,Hotline,Nonformal,,N-16-COVID-19: ,"1.  The employer is not providing any type of cleaning or a safe environment for the employees or the consumers. 

2.  There is no way to sanitize the beds, pillows and most of the store. 

3.  There is no barriers between the desks, the employees and the consumers.","3/
1",1,44
01-120-00,C-1587494,"Trinity Hill Care Center, LLC.
151 Hillside Avenue, HARTFORD, CONNECTICUT, 06106",HARTFORD,"623110 /
623110",2020-05-12,Phone,Nonformal,,N-16-COVID-19: ,Employer failed to provide proper PPE to the employees.,"1/
1",1,62
01-120-00,C-1588404,"Amazon - Fulfillment Center
200 Old Iron Ore Road, WINDSOR, CONNECTICUT, 06095",HARTFORD,"454111 /
454111",2020-05-13,Email,Nonformal,,N-16-COVID-19: ,This facility isn't following social distancing protocols. Masks are suppose to be mandatory but most employees aren't wearing them. Management are  not  dealing with anyone not following Covid 19 protocols.,"1/
1",1,45
01-120-00,C-1588537,"Austin Organs, Inc.
156 Woodland Street, HARTFORD, CONNECTICUT, 06105",HARTFORD,"337110 /
337110",2020-05-13,Email,Nonformal,,N-16-COVID-19: ,"The complainant alleges there are several location of leaking roofs throughout the factory. These leaks have been ongoing for years and are getting worse. The excess moisture in the shop area and standing water on the floor has caused mold. As a remedy, temporary tarps have been installed on the roofs to try to minimize the infiltration of water but it has not worked. The factory has been temporarily closed for COVID 19 and will reopen soon.  ","1/
1",1,33
01-120-00,C-1588668,"CCO, LLC.
2138 Silas Dean Highway, #101, ROCKY HILL, CONNECTICUT, 06067",HARTFORD,"447110 /
447110",2020-05-13,Phone,Nonformal,,N-16-COVID-19: ,"1.  Employees who are working in the office are within six feet of each other.  The company did move to employees to separate them, but others were not moved.

2.  Cleaning of break rooms and bathrooms is only done in the morning.  There is no cleaning schedule throughout the day.

3.  Employees working the in office do not consistently wear masks.  Some employees do not feel that COVID-19 is a serious threat and do not comply with the company policy to wear a mask.  Management allows this to continue.

4.  The company checks everyone's temperature about 45 minutes after the work shift starts, not as they enter the building.","1/
1",1,44
01-120-00,C-1590061,"United Parcel Service
32 Mountainview Road, WATERTOWN, CONNECTICUT, 06795",LITCHFIELD,"492210 /
492210",2020-05-14,Online,Nonformal,,N-16-COVID-19: ,Employee alleges there in no social distancing enforced in the work area.,"1/
1",1,49
01-120-00,C-1590142,"Beacon Hospice Care
1111 Flanders Road, #1803, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"621610 /
621610",2020-05-14,Email,Nonformal,,N-16-COVID-19: ,THERE ARE 14 PEOPLE THAT WORK OUT OF OUR area.  THE OFFICE IS TOO SMALL. WE CANNOT enforce social  Distancing. THERE IS STAFF THAT HAVE BEEN EXPOSED TO PEOPLE WITH COVID 19 and CAME IN TO OUR OFFICE. THERE IS ALSO NO PPE provided by employer. THE COMPANY REFUSES TO FOLLOW THE GUIDELINES.,"1/
14",1,62
01-120-00,C-1590423,"PRATT & WHITNEY AIRCRAFT
400 MAIN STREET, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"811310 /
811310",2020-05-13,Online,Nonformal,,N-16-COVID-19: ,Employees presenting COVID-19 symptoms are allowed to continue to come into work possibly exposing others. Employees are not provided with any masks to prevent the spread of the virus.,"2/
20",1,81
01-120-00,C-1591024,"Target
125 Buckland Street, MANCHESTER, CONNECTICUT, 06042",HARTFORD,"452111 /
452111",2020-05-17,Online,Nonformal,,N-16-COVID-19: ,"The store does not follow the State, local, and CDC guidelines including the following:
1.  There are no directional markings in the aisles;
2.  Social distancing is not enforced between guests in checkout lanes;
3.  The store does not continually monitor and regulate the number of guests in the store at one time;
4.  Sanitation is not consistently followed according to guidelines;
5.  The plexiglass protection at the registers does not provide adequate protection;
6.  The use of personal protection equipment such as masks and gloves are not consistently being enforced.","6/
17",1,45
01-120-00,C-1591025,"CT Laser Associates I, LLC DBA MedSpa 1064
140 Glastonbury Boulevard, GLASTONBURY, CONNECTICUT, 06033",HARTFORD,"812199 /
812199",2020-05-15,Phone,Nonformal,1475832.0,N-16-COVID-19: ,"1.  Employees are expected to work in close proximity with clients while performing aesthetic treatments.  Many of the procedures are performed on the face which requires the clients to remove their masks or face coverings thereby potentially exposing employees to COVID.

2.  The employer is not providing employees with appropriate precautions in accordance with CDC guidelines.  Such precautions include, but are not limited to partitions or barriers between the front desk personnel and clients.

3.  Employees have not been fit-tested to determine what size N-95 respirators they should be wearing.  The employer purchases N-95s without regard for sizing.

4.  Smoke from lasers used for hair removal is not effectively evacuated thereby exposing the employees to airborne contaminants which may include infectious viral fragments and toxic gases.  Such exposures may result in viral infections, ocular and respiratory tract irritation, and /or mutagenic or carcinogenic effects.

5.  Equipment used during procedures,  personal protective equipment such as goggles and face shields, and surfaces throughout the office are not properly disinfected.

6.  Sharps containers are not managed properly.  They are frequently overfilled increasing the potential for needlesticks and exposure to blood-borne pathogens.","6/
15",1,81
01-120-00,C-1591097,"Ocean State Job Lot
205 Spencer Street, MANCHESTER, CONNECTICUT, 06040",HARTFORD,"452112 /
452112",2020-05-17,Online,Nonformal,,N-16-COVID-19: ,"The store is not following State, local, and CDC guidelines such as follows:
1.  The wearing of masks by customers and employees are not enforced;
2.  Social distancing is not enforced between customers, employees, and supervisors;
3.  There is not enough disinfectant for use by the cashiers and employees;
4.  Personal protective equipment such as masks and gloves are not provided by the employer.","4/
17",1,45
01-120-00,C-1591333,"FreshPoint Connecticut
105 Reserve Road, HARTFORD, CONNECTICUT, 06114",HARTFORD,"424480 /
424480",2020-05-18,Online,Nonformal,,N-16-COVID-19: ,"The employer does not follow State, local, and CDC guidelines as follows:
1.  The wearing of masks is not enforced;
2.  Social distancing is not enforced.","2/
30",1,42
01-120-00,C-1591401,"Alberca Construction Company, LLC
97 Tolland Street, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"236220 /
236220",2020-05-18,Online,Nonformal,,N-16-COVID-19: ,"COVID-positive employees are allowed to continue working without self-quarantining.

","1/
10",1,23
01-120-00,C-1591407,"Highlight Landscape & Design, LLC.
237 Oak Street, GLASTONBURY, CONNECTICUT, 06033",HARTFORD,"541320 /
541320",2020-05-18,Online,Nonformal,,N-16-COVID-19: ,"The employer is not following State, local, and CDC guidelines as follows:
1.  Personal protective equipment such as masks and gloves are not provided or used ;
2.  Social distancing is not practiced or enforced;
3.  Disinfectants are not provided or use to clean tools and equipment after each employee use.","3/
10",1,54
01-120-00,C-1591894,"Nordson EFD
10 Connecticut Ave., NORWICH, CONNECTICUT, 06360",NEW LONDON,"339112 /
339112",2020-05-19,Online,Nonformal,,N-16-COVID-19: ,"The company is not following State, local, and CDC guidelines such as:
1.  After an employee tested positive for COVID-19 virus, the company did not shut down and do a complete cleaning and sanitizing of all 
     areas of potential exposure;
2.  The bathrooms are unsanitary;
3.  The bathrooms have no toilet paper and no soap to wash hands with.","3/
150",1,33
01-120-00,C-1592674,"Brookdale South Windsor
1715 Ellington Road, SOUTH WINDSOR, CONNECTICUT, 06074",HARTFORD,"623312 /
623312",2020-05-20,Online,Nonformal,,N-16-COVID-19: ,"The facility is not following State, local, and CDC guidelines such as:
1.  Personal protective equipment such as masks and gloves are not provided by the employer;
2.  The use and wearing of personal protective equipment such as masks and gloves is not enforced;
3.  The kitchen staff delivering food to potentially infectious resident's rooms are not provided with adequate personal protective equipment.","3/
40",1,62
01-120-00,C-1593632,"U.S. Postal Service
135 Chestnut Street, NEW BRITAIN, CONNECTICUT, 06050",HARTFORD,"491110 /
491110",2020-05-21,Phone,Nonformal,,N-16-COVID-19: ,"1.  Carriers are entering the post office and are not wearing masks in the common areas;

2.  The asbestos tiles in the breakroom are broken.","2/
11",1,49
01-120-00,C-1593840,"The Denominator Company, Inc.
744 Main Street South, WOODBURY, CONNECTICUT, 06798",LITCHFIELD,"334514 /
334514",2020-05-21,Phone,Nonformal,,N-16-COVID-19: ,"1.  The heat machine used to imprint numbers onto plastic wheels does not have a guard to protect employees from burns;

2.  The employer does not wear a mask or practice social distancing.","2/
7",1,33
01-120-00,C-1593966,"CT Portable Storage DBA PODS
39 Business Park Drive, BRISTOL, CONNECTICUT, 06010",HARTFORD,"485999 /
485999",2020-05-21,Online,Nonformal,,N-16-COVID-19: ,"Employees have tested positive for the COVID-19 virus.  The infected employees may have come in contact with 20-25 people before being sent home to quarantine, possibly exposing employees and customers throughout the state.  The employer has not followed State, Local and CDC guidelines for personal protective equipment and maintaining distancing.","1/
25",1,48
01-120-00,C-1595537,"East Lyme Family & Cosmetic Dentistry
15 Church Lane, EAST LYME, CONNECTICUT, 06333",NEW LONDON,"621210 /
621210",2020-05-26,Phone,Nonformal,,N-16-COVID-19: ,"1.  Employees are not being provided with proper personal protective equipment.  There are no N-95 respirators or gowns provided.

2.  Patients are being scheduled as they were prior to the COVID crisis without allowing adequate time between patients for disinfecting operatories.","2/
13",1,62
01-120-00,C-1596101,"Kellogg Marine Supply
5 Enterprise Drive, OLD LYME, CONNECTICUT, 06371",NEW LONDON,"424990 /
424990",2020-05-27,Online,Nonformal,,N-16-COVID-19: ,"Approximately 65 employees are working on the night shift loading orders onto trucks.  The employer is not enforcing state, local and CDC guidelines for social distancing and limiting time together.  Two employees have tested positive for COVID-19 already.","1/
65",1,42
01-120-00,C-1596466,"Levine Auto Parts & Paint Store
5 Cedar Street, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"441310 /
441310",2020-05-27,Phone,Nonformal,,N-16-COVID-19: ,The CDC requires that workers and customers to wear masks.  The purpose is to reduce risk of Covid -19 virus exposure to the workers and to keep from spreading the Covid-19 virus into the community.,"1/
25",1,44
01-120-00,C-1596943,"The Riverfront Children's Center, Inc.
476 Thames Street, GROTON, CONNECTICUT, 06340",NEW LONDON,"624410 /
624410",2020-05-26,Phone,Nonformal,,N-16-COVID-19: ,"1. There are high traffic areas, including one at the bottom of a flight of stairs, that flood whenever there is a rain storm.

2.  There are metal pieces on the floor that remain from a previous use of the space.  Several are loose and cause tripping hazards.

3.  State of CT COVID-related guidelines are not being followed.

4.  Children are allowed to hit teachers.

In your response, please provide information related to (1) your workplace violence prevention program and (2) how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.","4/
10",1,62
01-120-00,C-1597673,"Apple Rehab Farmington Valley
269 Farmington Avenue, PLAINVILLE, CONNECTICUT, 06062",HARTFORD,"623110 /
623110",2020-05-29,Phone,Nonformal,,N-16-COVID-19: ,"Employees working with COVID-positive residents are not provided with proper personal protective equipment.  They are not allowed to wear N-95 respirators, face shields are not readily available.","1/
25",1,62
01-120-00,C-1598678,"East Coast Material Manager
46 Lathrop Road Ext., PLAINFIELD, CONNECTICUT, 06374",WINDHAM,"423490 /
423490",2020-06-01,Phone,Nonformal,,N-16-COVID-19: ,Not all employees have access to PPE to protect them selves from COVID 19.   Specifically Office staff does not social distance or wear any type of PPE.  Gloves are not provided to other workers.  They may be handling packages infected with COVID 19 virus.  Social distancing is not observed when handling heavy objects and masks are not always available.,"1/
20",1,42
01-120-00,C-1599251,"Hilton Garden Inn
5 Watson Road, PRESTON, CONNECTICUT, 06365",NEW LONDON,"721110 /
721110",2020-06-02,Online,Nonformal,,N-16-COVID-19: ,"The employer is not following State, local, and CDC guidelines such as:
1.  The Plexiglass shield at the front desk has a hole in it at face level;
2.  There is no set operating capacity for amount of guest allowed in hotel;
3.  There are no guidelines or procedures on the cleaning of rooms after 5 pm when the housekeeping staff have gone;
4.  No guidelines or procedures have been developed on the entering of guest's rooms while occupied;
","4/
35",1,72
01-120-00,C-1599429,"All-Phase Electric Supply
1559 King Street, ENFIELD, CONNECTICUT, 06082",HARTFORD,"221121 /
221121",2020-06-02,Online,Nonformal,,N-16-COVID-19: ,"Masks are not being worn as recommended by CDC.  Employees are wearing masks when interacting with public at the front desk, but not in the warehouse area.","1/
15",1,22
01-120-00,C-1599664,"Electric Boat
75 Eastern Point Road, GROTON, CONNECTICUT, 06340",NEW LONDON,"336611 /
336611",2020-06-01,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees are not following CDC recommendation for COVID 19 virus.
   a. Employees are not wearing masks as recommended by CDC.
   b. Employees are not social distancing as recommended by CDC.","1/
100",1,33
01-120-00,C-1599919,"Trinity Hill Care Center, LLC
151 Hillside Avenue, HARTFORD, CONNECTICUT, 06106",HARTFORD,"623110 /
623110",2020-06-03,Phone,Nonformal,,N-16-COVID-19: ,Employees are no longer being provided with personal protective equipment to protect them from COVID-19.,"1/
165",1,62
01-120-00,C-1603492,"Hobby Lobby
241 Buckland Street, MANCHESTER, CONNECTICUT, 06042",HARTFORD,"453998 /
453998",2020-06-10,Online,Nonformal,,N-16-COVID-19: ,"Employer may be using glass cleaner instead of proper cleaning disinfectant during the Covid-19 pandemic.

","1/
1",1,45
01-120-00,C-1605311,"Natchaug Hospital, Inc.
189 Storrs Road, MANSFIELD CENTER, CONNECTICUT, 06250",TOLLAND,"622210 /
622210",2020-06-15,Online,Nonformal,,N-16-COVID-19: ,"1.  Even though the CDC instructs the hospital to practice social distance and not have employees or patients within six feet of each other, or more than five people in a room together.  Management insists that all staff and nurses go to report together, in a small, unventilated room with the door closed.  There are usually seven Mental Health Workers and five nurses and sometimes management present in these meetings.  Employees are told that they must meet in the room even though staff has stated that they feel uncomfortable and that it puts them at risk for exposure to COVID-19.","1/
12",1,62
01-120-00,C-1605534,"Goodwill
350 Queen Street, SOUTHINGTON, CONNECTICUT, 06489",HARTFORD,"453310 /
453310",2020-06-15,Phone,Nonformal,,N-16-COVID-19: ,"Items such as clothing and other textiles are being place out for sale prior to meeting the established three day quarantine. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees. Also, describe what practices are in place in regards to handling newly donated items prior to them being put out for sale. ","1/
5",1,45
01-120-00,C-1605624,"Donwell Company Inc.
130 Sheldon Road, MANCHESTER, CONNECTICUT, 06042",HARTFORD,"325510 /
325510",2020-06-15,Phone,Nonformal,,N-16-COVID-19: ,"1. 1910.141(c)(1)(i) Requires that employers have 2 water closets for employees if you have between 16-35 workers.  The Donwell Company only has one water closet for 30 people.

2. CDC requires social distancing during work activities including during lunch breaks.  With only one lunch table the Donwell Company cannot meet social distancing requirements since only one lunch table is available.","2/
30",1,32
01-120-00,C-1606428,"HOMEGOODS DISTRIBUTION CENTER
1415 BLUE HILLS AVENUE, BLOOMFIELD, CONNECTICUT, 06002",HARTFORD,"442299 /
442299",2020-06-16,Online,Nonformal,,N-16-COVID-19: ,"Lack of cleaning of equipment between shifts, no soap in the restrooms, no cleaning products available to employees, masks are not being worn by all employees, social distancing is not being observed by all employees.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.
","3/
100",1,44
01-120-00,C-1606861,"Aladdin an Elior Company
81 Sabbaday Lane, WASHINGTON, CONNECTICUT, 06793",LITCHFIELD,"722310 /
722310",2020-06-17,Phone,Nonformal,,N-16-COVID-19: ,"Employees have not been supplied with masks, no health screening, such as temperature taking, and inadequate social distancing practices. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
25",1,72
01-120-00,C-1607947,"FEDEX
350 RUBY ROAD, WILLINGTON, CONNECTICUT, 06279",TOLLAND,"492210 /
492210",2020-06-19,Online,Nonformal,,N-16-COVID-19: ,"1.  Masks are enforced when entering/exiting the building and at the scanner window, but are not enforced in actual work areas.  Employees are standing less than 6 feet apart without masks throughout the entire building; some employees that work in choke point areas (like the end of the IC belt in load areas) are not wearing masks even though they are in a heavily trafficked area.  Members of management are not wearing masks even when speaking to employees and each other.

2. Little to no enforcement of six foot rule, for example in the scanner line people will ignore the six feet safety tape and stand close to each other.  Upper management does not address this behavior.

3.  Shifts overlap; there is little effort to stagger shifts on busy days.  

 4. Concerned that management is not notifying us of new covid cases.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
100",1,49
01-120-00,C-1608701,"Five Corners Bistro & Craft Bar, LLC
354 Colt Highway, FARMINGTON, CONNECTICUT, 06032",HARTFORD,"722210 /
722210",2020-06-22,Online,Nonformal,,N-16-COVID-19: ,1.  Masks are not provided for staff to wear to protect themselves against COVID-19.  ,"1/
10",1,72
01-120-00,C-1610425,"Ted's Montana Grill
500 Evergreen Way, Suite 500, SOUTH WINDSOR, CONNECTICUT, 06074",HARTFORD,"722110 /
722110",2020-06-24,Phone,Nonformal,,N-16-COVID-19: ,"The company has not implemented adequate procedures to protect employees from COVID-19 in that:

1.  Employees, including the managers and cooks, are not wearing masks or are not wearing them properly.  

2.  Hand sanitizer is not available for employees to use. ","2/
35",1,72
01-120-00,C-1611029,"The Standard Mattress Company
261 Weston Street, HARTFORD, CONNECTICUT, 06120",HARTFORD,"337910 /
337910",2020-06-25,Online,Nonformal,,N-16-COVID-19: ,1.  Masks are either not being worn or are not being worn properly by employees.,"1/
25",1,33
01-120-00,C-1612202,"Harrington Court
59 Harrington Court, COLCHESTER, CONNECTICUT, 06415",NEW LONDON,"623110 /
623110",2020-06-29,Online,Nonformal,,N-16-COVID-19: ,"The facility has not implemented adequate policies and procedures to effectively reduce staff exposure to COVID-19 in that:

1.  The facility has not implemented specific guidelines regarding what personal protective equipment is needed for specific tasks.  As a result, the staff was not properly trained and was under-prepared.

2.  The facility was slow to establish a COVID unit and did not quarantine potentially infected residents, leading to increased exposure to other residents and staff.  Although a COVID unit is now established, staff work on both the COVID and non-COVID unit throughout work shifts.

3.  Staff members wear gowns used in COVID areas out in the hallway.

4.  Staff who are performing COVID tests have not been properly trained on the test method, which could lead to false negatives.

5.  The Infection Control nurse is assigned to work as floor nurse, overnight nurse and other nursing duties instead of being allowed to concentrate on infection control duties, including infection control rounds and keeping staff informed of infections rates of staff members.

","1/
100",1,62
01-120-00,C-1612296,"Clark Dietrich
780 James P Casey Road, #1, BRISTOL, CONNECTICUT, 06010",HARTFORD,"238130 /
238130",2020-06-29,Email,Nonformal,,N-16-COVID-19: ,1. Employees are not wearing mask in work place in the shipping and production area.,"1/
1",1,23
01-120-00,C-1614337,"Coca Cola Bottling Plant
359 Ellington Road, SOUTH WINDSOR, CONNECTICUT, 06074",HARTFORD,"312111 /
312111",2020-07-01,Phone,Nonformal,,N-16-COVID-19: ,Employees do not use proper PPE to prevent spread of Covid 19.,"1/
500",1,31
